Algorithm	Variant	Observed_Undetermined	Observed_.	Chi	Type	Genotype	Count
Paragraph(VCF)	NA_variant_1	0	0	4.025522170434456	Observed	G2	36
Paragraph(VCF)	NA_variant_1	0	0	4.025522170434456	Expected	G0	45.92666666666666
Paragraph(VCF)	NA_variant_1	0	0	4.025522170434456	Expected	G1	74.14666666666666
Paragraph(VCF)	NA_variant_1	0	0	4.025522170434456	Expected	G2	29.926666666666666
Paragraph(VCF)	NA_variant_2	0	0	0.3226961217949829	Observed	G0	99
Paragraph(VCF)	NA_variant_2	0	0	0.3226961217949829	Observed	G1	47
Paragraph(VCF)	NA_variant_2	0	0	0.3226961217949829	Observed	G2	4
Paragraph(VCF)	NA_variant_2	0	0	0.3226961217949829	Expected	G0	100.04166666666667
Paragraph(VCF)	NA_variant_2	0	0	0.3226961217949829	Expected	G1	44.91666666666666
Paragraph(VCF)	NA_variant_2	0	0	0.3226961217949829	Expected	G2	5.041666666666666
Paragraph(VCF)	NA_variant_3	0	0	0.340136054421769	Observed	G0	65
Paragraph(VCF)	NA_variant_3	0	0	0.340136054421769	Observed	G1	65
Paragraph(VCF)	NA_variant_3	0	0	0.340136054421769	Observed	G2	20
Paragraph(VCF)	NA_variant_3	0	0	0.340136054421769	Expected	G0	63.37500000000001
Paragraph(VCF)	NA_variant_3	0	0	0.340136054421769	Expected	G1	68.25
Paragraph(VCF)	NA_variant_3	0	0	0.340136054421769	Expected	G2	18.374999999999996
Paragraph(VCF)	NA_variant_4	0	0	0.7653061224489796	Observed	G0	130
Paragraph(VCF)	NA_variant_4	0	0	0.7653061224489796	Observed	G1	20
Paragraph(VCF)	NA_variant_4	0	0	0.7653061224489796	Observed	G2	0
Paragraph(VCF)	NA_variant_4	0	0	0.7653061224489796	Expected	G0	130.66666666666669
Paragraph(VCF)	NA_variant_4	0	0	0.7653061224489796	Expected	G1	18.666666666666668
Paragraph(VCF)	NA_variant_4	0	0	0.7653061224489796	Expected	G2	0.6666666666666666
Paragraph(VCF)	NA_variant_5	0	0	0.7071149745628877	Observed	G0	100
Paragraph(VCF)	NA_variant_5	0	0	0.7071149745628877	Observed	G1	43
Paragraph(VCF)	NA_variant_5	0	0	0.7071149745628877	Observed	G2	7
Paragraph(VCF)	NA_variant_5	0	0	0.7071149745628877	Expected	G0	98.41500000000002
Paragraph(VCF)	NA_variant_5	0	0	0.7071149745628877	Expected	G1	46.17
Paragraph(VCF)	NA_variant_5	0	0	0.7071149745628877	Expected	G2	5.415
Paragraph(VCF)	NA_variant_6	0	0	20.0034008372283	Observed	G0	60
Paragraph(VCF)	NA_variant_6	0	0	20.0034008372283	Observed	G1	47
Paragraph(VCF)	NA_variant_6	0	0	20.0034008372283	Observed	G2	43
Paragraph(VCF)	NA_variant_6	0	0	20.0034008372283	Expected	G0	46.48166666666666
Paragraph(VCF)	NA_variant_6	0	0	20.0034008372283	Expected	G1	74.03666666666666
Paragraph(VCF)	NA_variant_6	0	0	20.0034008372283	Expected	G2	29.48166666666667
Paragraph(VCF)	NA_variant_7	0	0	1.5184036289547835	Observed	G0	122
Paragraph(VCF)	NA_variant_7	0	0	1.5184036289547835	Observed	G1	25
Paragraph(VCF)	NA_variant_7	0	0	1.5184036289547835	Observed	G2	3
Paragraph(VCF)	NA_variant_7	0	0	1.5184036289547835	Expected	G0	120.60166666666665
Paragraph(VCF)	NA_variant_7	0	0	1.5184036289547835	Expected	G1	27.796666666666663
Paragraph(VCF)	NA_variant_7	0	0	1.5184036289547835	Expected	G2	1.6016666666666666
Paragraph(VCF)	SPINK14	0	0	1.1052604664121015	Observed	G0	29
Paragraph(VCF)	SPINK14	0	0	1.1052604664121015	Observed	G1	81
Paragraph(VCF)	SPINK14	0	0	1.1052604664121015	Observed	G2	40
Paragraph(VCF)	SPINK14	0	0	1.1052604664121015	Expected	G0	32.20166666666667
Paragraph(VCF)	SPINK14	0	0	1.1052604664121015	Expected	G1	74.59666666666665
Paragraph(VCF)	SPINK14	0	0	1.1052604664121015	Expected	G2	43.20166666666666
Paragraph(VCF)	SVAE	0	0	2.154370671112826	Observed	G0	43
Paragraph(VCF)	SVAE	0	0	2.154370671112826	Observed	G1	66
Paragraph(VCF)	SVAE	0	0	2.154370671112826	Observed	G2	41
Paragraph(VCF)	SVAE	0	0	2.154370671112826	Expected	G0	38.506666666666675
Paragraph(VCF)	SVAE	0	0	2.154370671112826	Expected	G1	74.98666666666666
Paragraph(VCF)	SVAE	0	0	2.154370671112826	Expected	G2	36.50666666666667
Paragraph(VCF)	ShortInversion	0	0	13.097354570303196	Observed	G0	90
Paragraph(VCF)	ShortInversion	0	0	13.097354570303196	Observed	G1	41
Paragraph(VCF)	ShortInversion	0	0	13.097354570303196	Observed	G2	19
Paragraph(VCF)	ShortInversion	0	0	13.097354570303196	Expected	G0	81.40166666666667
Paragraph(VCF)	ShortInversion	0	0	13.097354570303196	Expected	G1	58.196666666666665
Paragraph(VCF)	ShortInversion	0	0	13.097354570303196	Expected	G2	10.401666666666664
Paragraph(VCF)	svVariant_1	0	0	2.789256198347107	Observed	G0	0
Paragraph(VCF)	svVariant_1	0	0	2.789256198347107	Observed	G1	36
Paragraph(VCF)	svVariant_1	0	0	2.789256198347107	Observed	G2	114
Paragraph(VCF)	svVariant_1	0	0	2.789256198347107	Expected	G0	2.16
Paragraph(VCF)	svVariant_1	0	0	2.789256198347107	Expected	G1	31.68
Paragraph(VCF)	svVariant_1	0	0	2.789256198347107	Expected	G2	116.16
Paragraph(VCF)	svVariant_10	0	0	1.8518518518518505	Observed	G0	58
Paragraph(VCF)	svVariant_10	0	0	1.8518518518518505	Observed	G1	64
Paragraph(VCF)	svVariant_10	0	0	1.8518518518518505	Observed	G2	28
Paragraph(VCF)	svVariant_10	0	0	1.8518518518518505	Expected	G0	54
Paragraph(VCF)	svVariant_10	0	0	1.8518518518518505	Expected	G1	72
Paragraph(VCF)	svVariant_10	0	0	1.8518518518518505	Expected	G2	24.000000000000004
Paragraph(VCF)	svVariant_2	0	0	0.29341588576026856	Observed	G0	58
Paragraph(VCF)	svVariant_2	0	0	0.29341588576026856	Observed	G1	68
Paragraph(VCF)	svVariant_2	0	0	0.29341588576026856	Observed	G2	24
Paragraph(VCF)	svVariant_2	0	0	0.29341588576026856	Expected	G0	56.426666666666655
Paragraph(VCF)	svVariant_2	0	0	0.29341588576026856	Expected	G1	71.14666666666666
Paragraph(VCF)	svVariant_2	0	0	0.29341588576026856	Expected	G2	22.426666666666666
Paragraph(VCF)	svVariant_3	0	2	2.6460516763048973	Observed	G0	45
Paragraph(VCF)	svVariant_3	0	2	2.6460516763048973	Observed	G1	64
Paragraph(VCF)	svVariant_3	0	2	2.6460516763048973	Observed	G2	39
Paragraph(VCF)	svVariant_3	0	2	2.6460516763048973	Expected	G0	40.060810810810814
Paragraph(VCF)	svVariant_3	0	2	2.6460516763048973	Expected	G1	73.87837837837837
Paragraph(VCF)	svVariant_3	0	2	2.6460516763048973	Expected	G2	34.06081081081081
Paragraph(VCF)	svVariant_4	0	0	3.4480511718493734	Observed	G0	32
Paragraph(VCF)	svVariant_4	0	0	3.4480511718493734	Observed	G1	62
Paragraph(VCF)	svVariant_4	0	0	3.4480511718493734	Observed	G2	56
Paragraph(VCF)	svVariant_4	0	0	3.4480511718493734	Expected	G0	26.459999999999997
Paragraph(VCF)	svVariant_4	0	0	3.4480511718493734	Expected	G1	73.08
Paragraph(VCF)	svVariant_4	0	0	3.4480511718493734	Expected	G2	50.459999999999994
Paragraph(VCF)	svVariant_5	0	0	42.23240316534776	Observed	G0	46
Paragraph(VCF)	svVariant_5	0	0	42.23240316534776	Observed	G1	104
Paragraph(VCF)	svVariant_5	0	0	42.23240316534776	Observed	G2	0
Paragraph(VCF)	svVariant_5	0	0	42.23240316534776	Expected	G0	64.02666666666666
Paragraph(VCF)	svVariant_5	0	0	42.23240316534776	Expected	G1	67.94666666666667
Paragraph(VCF)	svVariant_5	0	0	42.23240316534776	Expected	G2	18.026666666666667
Paragraph(VCF)	svVariant_6	0	0	0.5321292047051424	Observed	G0	7
Paragraph(VCF)	svVariant_6	0	0	0.5321292047051424	Observed	G1	44
Paragraph(VCF)	svVariant_6	0	0	0.5321292047051424	Observed	G2	99
Paragraph(VCF)	svVariant_6	0	0	0.5321292047051424	Expected	G0	5.6066666666666665
Paragraph(VCF)	svVariant_6	0	0	0.5321292047051424	Expected	G1	46.78666666666666
Paragraph(VCF)	svVariant_6	0	0	0.5321292047051424	Expected	G2	97.60666666666665
Paragraph(VCF)	svVariant_7	0	0	2.6027378399496057	Observed	G0	8
Paragraph(VCF)	svVariant_7	0	0	2.6027378399496057	Observed	G1	39
Paragraph(VCF)	svVariant_7	0	0	2.6027378399496057	Observed	G2	103
Paragraph(VCF)	svVariant_7	0	0	2.6027378399496057	Expected	G0	5.041666666666666
Paragraph(VCF)	svVariant_7	0	0	2.6027378399496057	Expected	G1	44.91666666666666
Paragraph(VCF)	svVariant_7	0	0	2.6027378399496057	Expected	G2	100.04166666666667
Paragraph(VCF)	svVariant_8	0	0	7.260000000000001	Observed	G0	74
Paragraph(VCF)	svVariant_8	0	0	7.260000000000001	Observed	G1	52
Paragraph(VCF)	svVariant_8	0	0	7.260000000000001	Observed	G2	24
Paragraph(VCF)	svVariant_8	0	0	7.260000000000001	Expected	G0	66.66666666666666
Paragraph(VCF)	svVariant_8	0	0	7.260000000000001	Expected	G1	66.66666666666666
Paragraph(VCF)	svVariant_8	0	0	7.260000000000001	Expected	G2	16.666666666666664
Paragraph(VCF)	svVariant_9	0	0	0.11876651487041026	Observed	G0	28
Paragraph(VCF)	svVariant_9	0	0	0.11876651487041026	Observed	G1	76
Paragraph(VCF)	svVariant_9	0	0	0.11876651487041026	Observed	G2	46
Paragraph(VCF)	svVariant_9	0	0	0.11876651487041026	Expected	G0	29.04
Paragraph(VCF)	svVariant_9	0	0	0.11876651487041026	Expected	G1	73.92000000000002
Paragraph(VCF)	svVariant_9	0	0	0.11876651487041026	Expected	G2	47.040000000000006
